Gamers Numazu,animation shop,AREA1,YOSHIKO,添地町72青秀ビル1階,Soechicho 72 1F,,11,0,20,0,-1,-1,-1,-1,138.856823,35.101589
Hotel Yasudaya,ryokan,UCHIURA,CHIKA,内浦三津19,Uchiuramito 19,,12,0,20,0,-1,-1,-1,-1,138.897566,35.020432
Shogetsu,cafe,UCHIURA,HANAMARU,内浦88-36,Uchiura 88-36,BC,10,0,17,0,-1,-1,-1,-1,138.897981,35.022198
SUN!SUN!Sunshine CAFE,cafe,AREA1,DIA,大手町3-1-1,Otemachi 3 chome-1-1,,11,0,20,30,-1,-1,-1,-1,138.859688,35.102001
Ocean View Fujimi,hotel,NISHIURA,KANAN,西浦江梨993,Nishiuraenashi 993,,10,30,14,30,-1,-1,-1,-1,138.785859,35.024919
Hotel Awashima,hotel,UCHIURA,MARI,内浦重寺186,Uchiurashigedera 186,,9,30,17,0,-1,-1,-1,-1,138.886772,35.035521
Izu Mito Sea Paradise,aquarium,UCHIURA,YOU,内浦長浜3-1,Uchiuranagahama 3-1,,9,0,17,0,-1,-1,-1,-1,138.89601,35.019516
Sannoura Information Center,information center,UCHIURA,RUBY,内浦長浜83-124,Uchiuranagahama 83-124,,9,0,16,0,-1,-1,-1,-1,138.893409,35.017727
Chidori Kanko Kisen CO. ，LTD,cruise,UCHIURA,RIKO,内浦三津43-7,Uchiuramito 43-7,,8,0,17,0,-1,-1,-1,-1,138.897769,35.021155
JA Nansun Green tea house Numazu,farmers market,AREA3,CHIKA,下香貫上障子415-1,Shimokanukikamishoji 415-1,FG,9,0,16,0,-1,-1,-1,-1,138.869729,35.083423
Awashima Marine Park,aquarium,UCHIURA,KANAN,内浦重寺186,Uchiurashigedera 186,,9,30,17,0,-1,-1,-1,-1,138.893502,35.033091
Tsuiji Photo Studio,studio,AREA1,YOSHIKO,上土町36,Agetsuchicho 36,C,9,30,19,0,-1,-1,-1,-1,138.857448,35.096954
JEWELRY＆WATCH Ichikawa,jewellery shop,AREA1,DIA,上土町100-1,Agetsuchicho 100-1,C,10,0,19,30,-1,-1,-1,-1,138.858114,35.096569
Hamachu,japanese restaurant,AREA1,RUBY,上土町80,Agetsuchicho 80,A,11,30,22,0,15,0,17,0,138.858367,35.098096
Hotel Hamanoya,ryokan,UCHIURA,MARI,内浦三津42-3,Uchiuramito 42-3,,11,0,15,0,-1,-1,-1,-1,138.897683,35.020895
Book store Marusan,bookstore,AREA1,HANAMARU,大手町5-3-13,Otemachi 5 chome-3-13,,10,0,19,0,-1,-1,-1,-1,138.858477,35.100716
Nakamise shopping mall,arcade,AREA1,YOU,大手町5丁目8-1,Otemachi 5 chome-8-1,,10,0,19,0,-1,-1,-1,-1,138.858256,35.101098
Mos Burger FujikyuNumazu store,fast-food restaurant,AREA1,RIKO,大手町3丁目2-1 富士急百貨店1階,Otemachi 3 chome-2-1 1F,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.860496,35.102001
Seven-eleven Izu Mito Sea Paradise mae store,cvs,UCHIURA,RIKO,内浦三津46,Uchiuramito 46,,0,0,24,0,-1,-1,-1,-1,138.897449,35.02191
Shunyou-sou Yamaya,ryokan,NISHIURA,HANAMARU,西浦平沢92-4,Nshiurahirasawa 92-4,C,9,30,17,0,-1,-1,-1,-1,138.860358,35.019506
Tokai bus Numazu Sales Office,bus,AREA1,CHIKA,大手町1-1-3,Otemachi 1 chome 1-3,G,9,0,18,0,-1,-1,-1,-1,138.860933,35.102252
Oosekan,hotel,NISHIURA,RUBY,西浦江梨325-1,Nshiuraenashi 325-1,,8,0,18,0,-1,-1,-1,-1,138.786377,35.024143
Grandma,bakery ， cafe,AREA1,YOSHIKO,上土町63,Agetsuchicho 63,C,10,0,19,0,-1,-1,-1,-1,138.858156,35.097576
Byuo,observatory,AREA2,MARI,本字千本1905-27,Honsenbon 1905-27(구글 주소 누락),D,10,0,20,0,-1,-1,-1,-1,138.854507,35.081313
Oranda-kan,western restaurant,AREA2,YOU,下河原町1146-33,Shimogawaracho 1146-33,A,9,0,21,0,-1,-1,-1,-1,138.858081,35.090777
Izu Hakone Railway,station,OTHER,KANAN,伊豆の国市南条773-2 伊豆長岡駅,Izunokunishi nanjo773-2 izunagaoka.st,,7,0,19,0,-1,-1,-1,-1,138.947486,35.039801
Uchiura fishery direct management Ikesuya,japanese restaurant,UCHIURA,DIA,内浦小海30-103,Uchiurakoumi 30-103,C,9,0,16,0,-1,-1,-1,-1,138.896216,35.026532
HAMBURGER & CAFE Numazu Burger,fast-food restaurant,AREA2,YOSHIKO,千本港町83-1,Senbonminatocho 83-1,,9,0,18,0,-1,-1,-1,-1,138.858158,35.083851
Sushi no Isomaru at Numazu Port,japanese restaurant,AREA2,KANAN,千本港町97,Senbonminatocho 97,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.857773,35.083532
Numazu Port Uonei,fish market,AREA2,HANAMARU,千本港町109,Senbonminatocho 109,,8,0,19,0,-1,-1,-1,-1,138.858551,35.083145
Hosaka,japanese bakery,AREA1,DIA,大手町5-2-9,Otemachi 5 chome-2-9,,10,0,19,0,-1,-1,-1,-1,138.85865,35.101214
Marusan Hobby,toy shop,AREA1,MARI,上土町66,Agetsuchicho 66,,10,0,20,0,-1,-1,-1,-1,138.858155,35.097607
Ishibashi Plaza,department store,AREA5,RIKO,高島本町1-5,Takashimahoncho-1-5,,10,0,20,0,-1,-1,-1,-1,138.857909,35.108282
Uogashi-sushi Nagare-sushi Numazu,kaiten sushi,AREA1,RUBY,大手町1-1-6 イーラde 3F,Otemachi 1 chome-1-6 3F,,11,0,21,30,-1,-1,-1,-1,138.858357,35.102191
Numazu-StationBuilding Antre,department store,AREA1,YOU,大手町1-1-1,Otemachi 1 chome-1-1 Numazu station,,9,0,20,0,-1,-1,-1,-1,138.860469,35.102647
Maruka,farmers market,UCHIURA,CHIKA,内浦重須305-8,Uchiuraomos 305-8,,8,0,16,0,-1,-1,-1,-1,138.886972,35.017401
TONY'S HONOLULU,hawai restaurant,AREA2,YOSHIKO,千本港町128-3,Senbonminatocho 128-3,,11,0,22,0,-1,-1,-1,-1,138.856547,35.081263
Numazu arcade meiten gai,arcade,AREA1,RUBY,町方町111,Machikatamachi 111,FG,9,0,18,0,-1,-1,-1,-1,138.856968,35.098336
Nunozawa gohuku store,japanese clothing store,AREA1,RIKO,上土町100-1,Agetsuchicho 100-1,C,10,0,18,0,-1,-1,-1,-1,138.858196,35.096733
Daikokuya,bakery,AREA1,HANAMARU,町方町71,Machikatamachi 71,C,9,30,19,0,-1,-1,-1,-1,138.856817,35.097148
Marukyu Uoken,japanese restaurant,AREA2,YOU,千本港町124,Senbonminatocho 124,B,9,0,15,0,-1,-1,-1,-1,138.85768,35.08218
Amiya Parking,parking lot,AREA1,CHIKA,上土町1-1 ,Agetsuchicho 1-1 ,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.858597,35.097735
Family Mart Numazu Shimokanuki store,cvs,AREA3,KANAN,下香貫2973-6,Shimokanuki 2973-6,,0,0,24,0,-1,-1,-1,-1,138.872502,35.076685
Restaurant and Himono shop Ajiya,japanese restaurant,AREA2,MARI,千本港町128-1,Senbonminatocho 128-1,B,9,0,16,0,-1,-1,-1,-1,138.857449,35.083749
Fumino,japanese restaurant,AREA2,DIA,千本港町109 ダイレイビル1F,Senbonminatocho 109 1F,B,6,0,15,0,-1,-1,-1,-1,138.858395,35.083165
Tosawaya,ryokan,UCHIURA,YOSHIKO,内浦三津88-15,Uchiuramito 88-15,B,11,0,17,0,-1,-1,-1,-1,138.898334,35.022896
OH!MOS (Agricultural union corporation OMOSU),farmers market,UCHIURA,HANAMARU,内浦重須14-10,Uchiuraomos 14-10,,8,30,17,0,-1,-1,-1,-1,138.888231,35.017382
Sea stage,western restaurant,NISHIURA,YOU,西浦木負768-9,Nishiurakishou 768-9,D,10,0,18,0,-1,-1,-1,-1,138.879749,35.019404
Tsujisou shoten,shop,UCHIURA,HANAMARU,内浦三津538,Uchiuramito 538,B,8,0,18,0,-1,-1,-1,-1,138.898443,35.025467
Akakara Numazu store,fusion restaurant,AREA5,RUBY,米山町1-5,Yoneyamacho 1-5,,11,0,1,0,-1,-1,-1,-1,138.862137,35.104957
Seafood bowl and Seafood set meal Kamomemaru,japanese restaurant,AREA2,DIA,千本港町101 千本一ビル1階,Senbonminatocho 101 1F,C,11,0,21,0,15,0,17,0,138.857821,35.082802
Office supplies Fudii,stationery store,AREA1,YOSHIKO,通横町6,Toriyokocho 6,G,9,0,18,0,-1,-1,-1,-1,138.857732,35.096619
Rivage Pastry shop,bakery ， cafe,AREA3,CHIKA,下香貫柿原2885-2,Shimokanukikakihara 2885-2,,10,0,18,0,-1,-1,-1,-1,138.870756,35.074957
Lot.n,canoe rental shop,AREA1,RIKO,上土町10,Agetsuchicho 10,,10,0,18,0,-1,-1,-1,-1,138.858524,35.097437
Numazu Grand Hotel,hotel,AREA1,CHIKA,大手町3丁目6-12,Otemachi 3chome 6-12,,0,0,24,0,-1,-1,-1,-1,138.86078,35.100591
Akishin shoten,fish market,UCHIURA,MARI,内浦重寺45,Uchiurashigedera 45,F,10,0,17,0,-1,-1,-1,-1,138.894839,35.033788
Aberry,kakikori restaurant,AREA1,YOSHIKO,大手町５丁目７−５,Otemachi 5chome 7-5,,11,0,17,0,-1,-1,-1,-1,138.858085,35.100093
Numazu YugawaraOnsen Manyo-no-Yu,hotspring,OTHER,KANAN,岡宮1208-1,Okanomiya 1208-1,,0,0,24,0,-1,-1,-1,-1,138.871665,35.135166
Maruni Green tea shop at Numazu-minatoshinsenkan,traditional café,AREA2,HANAMARU,千本港町128-1 沼津みなと新鮮館内,Senbonminatocho 128-1,B,9,0,16,0,-1,-1,-1,-1,138.857416,35.083614
Animate Numazu,animation shop,AREA1,YOU,大手町 5丁目9 -21 マルトモビル1Ｆ,Otemachi 5chome 9-21 ,,11,0,20,0,-1,-1,-1,-1,138.858041,35.10172
Matsuura Liquor Store,liqueur shop,AREA1,KANAN,大手町3-9-1,Otemachi 3chome 9-1,C,9,30,19,30,-1,-1,-1,-1,138.859109,35.099519
Numazu River Side Hotel,hotel,AREA1,YOSHIKO,上土町100-1,Agetsuchicho 100-1,,0,0,24,0,-1,-1,-1,-1,138.858464,35.096884
Seafood restaurant Yamaya,japanese restaurant,UCHIURA,RUBY,内浦三津199-4,Uchiuramito 199-4,,11,0,19,0,15,0,17,0,138.898936,35.02416
Ota gohuku store,japanese clothing store,AREA5,RIKO,高島町3-3,Takashimacho 3-3,B,10,0,19,0,-1,-1,-1,-1,138.85848,35.10482
Hotel Hamayu-So,ryokan,NISHIURA,DIA,西浦江梨986,Nishiuraenashi 986,,9,0,17,0,-1,-1,-1,-1,138.786568,35.023735
Akaike Car communicates systems,carcenter,AREA2,MARI,旭町19,Asahicho 19,G,9,0,18,0,-1,-1,-1,-1,138.854887,35.092811
Blue water,western restaurant,AREA1,CHIKA,魚町15,Uocho 15,B,11,0,22,0,-1,-1,-1,-1,138.857853,35.09508
Ryoshizushi Amimoto Takedamaru,japanese restaurant,AREA2,HANAMARU,千本港町115-4,Senbonminatocho 115-4,,11,0,18,0,-1,-1,-1,-1,138.858661,35.082137
Endo Newspaper store,newspaper,AREA1,YOU,大手町5丁目11-3 ラピュター5F,Otemachi 5chome 11-3 5F,G,9,0,17,30,-1,-1,-1,-1,138.857213,35.101033
Kimuraya,tamagoyaki,AREA2,RIKO,千本港町115-4,Senbonminatocho 115-4,B,11,30,15,30,-1,-1,-1,-1,138.858273,35.082246
Suginaga Suisan,fish market,AREA2,RUBY,千本中町35,Senbonnakacho 35,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.856765,35.085714
Kurura Heda,service area,OTHER,MARI,戸田1294-3,Heda 1294-3,,8,15,22,0,-1,-1,-1,-1,138.786662,34.97122
coffee Sakura,cafe,AREA2,RIKO,千本緑町1-1,Senbonmidoricho 1-1,C,11,0,16,0,-1,-1,-1,-1,138.851501,35.093043
Sushi-an Saitou at Minatoshunsaigai,japanese restaurant,AREA2,YOU,千本港町115-4,Senbonminatocho 115-4,D,11,30,14,0,-1,-1,-1,-1,138.858425,35.08229
Numazu Rakuun,entertainment,AREA1,CHIKA,大手町3-4-1 1階西側,Otemachi 3chome 4-1 1F,,7,0,24,0,-1,-1,-1,-1,138.859591,35.101393
CB Curry kitchen,curry restaurant,AREA3,HANAMARU,下香貫藤井原1653-1,Shimokanukifujiibara 1653-1,D,11,0,20,0,-1,-1,-1,-1,138.876028,35.079016
THE 3RD PLANET BiVi Numazu,game center,AREA1,KANAN,大手町1-1-5 BiVi　3階 (北駅）,Otemachi 1chome 1-5 BiVi 3F (north),,10,0,24,0,-1,-1,-1,-1,138.86113,35.104032
Chidori Himono center,fish market,AREA2,시이타케,千本港町128,Senbonminatocho 128,,9,0,18,0,-1,-1,-1,-1,138.857102,35.084095
Numazu Imperial Villa Memorial Park,museum,AREA3,DIA,下香貫島郷2802-1,Shimokanukitogo 2802-1,,9,0,16,30,-1,-1,-1,-1,138.871564,35.072536
Hotel Numazu Castle,hotel,AREA5,YOSHIKO,日の出町1-1,Hinodecho 1-1,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.866567,35.108837
Uchiura Fishery Cooperative Association,fisherman union,UCHIURA,YOU,内浦三津88-34,Uchiuramito 88-34,FG,9,0,15,30,-1,-1,-1,-1,138.897849,35.02278
Karaoke Radiocity at north of Numazu Station,karaoke,AREA5,DIA,米山町1-5,Yoneyamacho 1-5,,0,0,24,0,-1,-1,-1,-1,138.862156,35.104948
Ishida Green tea shop at north of Numazu Station,traditional café,AREA5,MARI,高島町12-5,Takashimacho 12-5,G,9,0,18,0,-1,-1,-1,-1,138.860186,35.105613
Coelacanth Café,cafe,AREA4,RUBY,上香貫三園町1381－3,Kamikanukimisonocho 1381-3,D,11,0,18,0,-1,-1,-1,-1,138.867841,35.085818
Sasunaka NagasawaFisheries,fish market,SHIZUURA,KANAN,獅子浜92,Shishihama 92,G,9,0,19,0,13,0,17,0,138.884126,35.053048
Masuyone,fish market,SHIZUURA,CHIKA,獅子浜22-18,Shishihama 22-18,,9,0,18,0,-1,-1,-1,-1,138.885676,35.049741
Daiwa Roynet Hotel Numazu,hotel,AREA1,YOSHIKO,大手町1-1-4(プラサ ヴェルデ、北口）,Otemachi 1chome 1-4 Plaza Verde,,0,0,24,0,-1,-1,-1,-1,138.861524,35.104089
Numazu Otemachi Shopping Street,arcade,AREA1,CHIKA,大手町3-5-21(1Fロビー),Otemachi 3chome 5-21 (1F),,8,0,22,0,-1,-1,-1,-1,138.859292,35.100629
OkadaGoldfish Store,pet shop,AREA1,RUBY,本町29,Honcho 29,C,10,0,19,0,-1,-1,-1,-1,138.856499,35.095713
Fujikyu City bus,bus,AREA1,KANAN,大手町1-1-3,Otemachi 1 chome 1-3,G,10,0,18,0,-1,-1,-1,-1,138.86084,35.102279
MINI STOP Numazu Uchiura store,cvs,UCHIURA,HANAMARU,内浦小海91-10,Uchiurakoumi 91-10,,0,0,24,0,-1,-1,-1,-1,138.893083,35.028144
Hotel Suisenkaku,ryokan,AREA3,RIKO,下香貫林ノ下2031-5,Shimokanukihayashinoshita 2031-4,,0,0,24,0,-1,-1,-1,-1,138.881359,35.075369
Jumbo Encho Numazu store,department store,AREA3,YOSHIKO,下香貫前原1481-2,Shimokanukimaehara 1481-2,,9,30,19,0,-1,-1,-1,-1,138.871241,35.079994
Arcade fruit,farmers market,AREA1,CHIKA,町方町58,Machikatamachi 58,C,9,30,19,30,-1,-1,-1,-1,138.857086,35.096856
Hotel Hagoromo-sou,ryokan,NISHIURA,YOU,西浦江梨325-2,Nishiuraenashi 325-2,,8,0,17,0,-1,-1,-1,-1,138.786115,35.024447
cocochee hotel Numazu,hotel,AREA5,DIA,高島町1-12,Takashimacho 1-12,,0,0,24,0,-1,-1,-1,-1,138.858918,35.104212
Izu Hakone Taxi,taxi company,OTHER,MARI,伊豆の国市南条773-2,Izunokunishi nanzo773-2,,7,0,19,0,-1,-1,-1,-1,138.94733,35.039806
Yamaka Fisheries Direct Sales Store,fish market,AREA5,HANAMARU,五月町4-23 加藤パレス1F,Satsukicho 4-23 Katopalace 1F,A,11,0,18,0,-1,-1,-1,-1,138.862066,35.11486
Bistro & Bar The Bar of Versailles,western restaurant,AREA1,CHIKA,大手町4-5-4 遊楽館ビル1F,Otemachi 4chome 5-4 Yurakukan 1F,,11,30,19,0,-1,-1,-1,-1,138.858493,35.098525
Serizawa Kojiro Memorial Museum,museum,AREA3,HANAMARU,我入道蔓陀ケ原５１７−１,Ganyudomandagahara 517-1,A,9,0,16,30,-1,-1,-1,-1,138.861177,35.074893
Tochuken,lunch box shop,AREA1,KANAN,大手町1-1-1,Otemachi 1chome 1-1,,7,0,19,0,-1,-1,-1,-1,138.859737,35.102685
cafe Umiiro,cafe,AREA2,RUBY,千本港町19-5,Senbonminatocho 19-5,A,10,0,16,0,-1,-1,-1,-1,138.856535,35.084195
